Word,Count
"/",110283
"=",103724
".",70813
",",45177
"+",43091
"2E",20457
"-",18932
"&",17176
">",14952
"<",14057
"><",13442
"2C",10383
";",9801
"money",9625
")",8326
"nbsp",8104
"(",7737
"BR",7347
"account",7192
"%",6698
"DIV",6483
"bank",4943
"$",4724
"transaction",4715
"country",4328
"business",4298
"fund",4297
"Mr",3639
"next",3576
"""",3544
"transfer",3503
"contact",3435
"kin",3324
":",3176
"funds",3101
"br",2862
"sum",2842
"Ã",2800
"#",2739
"foreign",2596
"assistance",2580
"family",2544
"company",2531
"name",2494
"Bank",2432
"know",2337
"late",2303
"P",2237
"¢",2208
"claim",2199
